"","gname","country_txt","iyear","imonth","iday","country","region","region_txt","attacktype1","attacktype1_txt","targtype1","targtype1_txt","weaptype1","weaptype1_txt","nkill","nwound"
"2225","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2014,7,28,228,10,"Middle East & North Africa",1,"Assassination",4,"Military",6,"Explosives/Bombs/Dynamite",0,6
"2226","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2013,3,4,228,10,"Middle East & North Africa",3,"Bombing/Explosion",17,"Terrorists/Non-State Militia",6,"Explosives/Bombs/Dynamite",13,15
"2227","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2012,4,6,228,10,"Middle East & North Africa",3,"Bombing/Explosion",2,"Government (General)",6,"Explosives/Bombs/Dynamite",1,0
"2228","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2014,12,23,228,10,"Middle East & North Africa",3,"Bombing/Explosion",14,"Private Citizens & Property",6,"Explosives/Bombs/Dynamite",0,0
"2229","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2014,7,11,228,10,"Middle East & North Africa",1,"Assassination",3,"Police",5,"Firearms",1,0
"2230","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2012,9,16,228,10,"Middle East & North Africa",3,"Bombing/Explosion",4,"Military",6,"Explosives/Bombs/Dynamite",3,0
"2231","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2013,7,3,228,10,"Middle East & North Africa",2,"Armed Assault",2,"Government (General)",5,"Firearms",1,0
"2232","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2011,3,6,228,10,"Middle East & North Africa",2,"Armed Assault",2,"Government (General)",5,"Firearms",1,0
"2233","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2012,10,6,228,10,"Middle East & North Africa",3,"Bombing/Explosion",4,"Military",6,"Explosives/Bombs/Dynamite",0,0
"2234","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2013,3,4,228,10,"Middle East & North Africa",3,"Bombing/Explosion",17,"Terrorists/Non-State Militia",6,"Explosives/Bombs/Dynamite",13,16
"2235","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2014,4,4,228,10,"Middle East & North Africa",3,"Bombing/Explosion",4,"Military",6,"Explosives/Bombs/Dynamite",8,11
"2236","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2012,3,8,228,10,"Middle East & North Africa",3,"Bombing/Explosion",4,"Military",6,"Explosives/Bombs/Dynamite",0,0
"2237","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2014,10,1,228,10,"Middle East & North Africa",9,"Unknown",4,"Military",13,"Unknown",0,2
"2238","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2012,2,14,228,10,"Middle East & North Africa",3,"Bombing/Explosion",3,"Police",6,"Explosives/Bombs/Dynamite",0,0
"2239","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2013,11,18,228,10,"Middle East & North Africa",2,"Armed Assault",3,"Police",6,"Explosives/Bombs/Dynamite",8,0
"2240","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2012,3,30,228,10,"Middle East & North Africa",3,"Bombing/Explosion",21,"Utilities",6,"Explosives/Bombs/Dynamite",0,0
"2241","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2014,9,10,228,10,"Middle East & North Africa",1,"Assassination",3,"Police",5,"Firearms",0,1
"2242","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2012,6,6,228,10,"Middle East & North Africa",2,"Armed Assault",4,"Military",6,"Explosives/Bombs/Dynamite",4,10
"2243","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2013,9,3,228,10,"Middle East & North Africa",2,"Armed Assault",17,"Terrorists/Non-State Militia",5,"Firearms",5,0
"2244","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2010,11,26,228,10,"Middle East & North Africa",3,"Bombing/Explosion",14,"Private Citizens & Property",6,"Explosives/Bombs/Dynamite",41,12
"2245","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2013,12,10,228,10,"Middle East & North Africa",2,"Armed Assault",4,"Military",5,"Firearms",2,NA
