"","gname","country_txt","iyear","imonth","iday","country","region","region_txt","attacktype1","attacktype1_txt","targtype1","targtype1_txt","weaptype1","weaptype1_txt","nkill","nwound"
"1","Abu Sayyaf Group (ASG)","Philippines",2014,12,23,160,5,"Southeast Asia",3,"Bombing/Explosion",20,"Unknown",6,"Explosives/Bombs/Dynamite",0,0
"2","Abu Sayyaf Group (ASG)","Philippines",2014,1,26,160,5,"Southeast Asia",1,"Assassination",2,"Government (General)",6,"Explosives/Bombs/Dynamite",0,0
"3","Abu Sayyaf Group (ASG)","Philippines",2014,12,30,160,5,"Southeast Asia",2,"Armed Assault",4,"Military",5,"Firearms",0,0
"4","Abu Sayyaf Group (ASG)","Philippines",2002,6,17,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",14,"Private Citizens & Property",5,"Firearms",0,0
"5","Abu Sayyaf Group (ASG)","Philippines",2008,4,8,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",14,"Private Citizens & Property",5,"Firearms",0,0
"6","Abu Sayyaf Group (ASG)","Philippines",2014,3,5,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",8,"Educational Institution",5,"Firearms",0,0
"7","Abu Sayyaf Group (ASG)","Philippines",2008,3,1,160,5,"Southeast Asia",3,"Bombing/Explosion",1,"Business",6,"Explosives/Bombs/Dynamite",0,6
"8","Abu Sayyaf Group (ASG)","Philippines",2011,9,27,160,5,"Southeast Asia",2,"Armed Assault",4,"Military",5,"Firearms",6,7
"9","Abu Sayyaf Group (ASG)","Philippines",2009,10,17,160,5,"Southeast Asia",3,"Bombing/Explosion",19,"Transportation",6,"Explosives/Bombs/Dynamite",0,0
"10","Abu Sayyaf Group (ASG)","Philippines",2005,1,10,160,5,"Southeast Asia",1,"Assassination",4,"Military",5,"Firearms",1,1
"11","Abu Sayyaf Group (ASG)","Philippines",2012,12,31,160,5,"Southeast Asia",3,"Bombing/Explosion",3,"Police",6,"Explosives/Bombs/Dynamite",0,3
"12","Abu Sayyaf Group (ASG)","Philippines",2003,2,20,160,5,"Southeast Asia",3,"Bombing/Explosion",6,"Airports & Aircraft",6,"Explosives/Bombs/Dynamite",1,NA
"13","Abu Sayyaf Group (ASG)","Philippines",2009,7,7,160,5,"Southeast Asia",3,"Bombing/Explosion",1,"Business",6,"Explosives/Bombs/Dynamite",2,11
"14","Abu Sayyaf Group (ASG)","Philippines",2010,11,15,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",8,"Educational Institution",13,"Unknown",0,0
"15","Abu Sayyaf Group (ASG)","Philippines",2011,4,9,160,5,"Southeast Asia",3,"Bombing/Explosion",1,"Business",6,"Explosives/Bombs/Dynamite",0,0
"16","Abu Sayyaf Group (ASG)","Philippines",2011,11,8,160,5,"Southeast Asia",3,"Bombing/Explosion",2,"Government (General)",6,"Explosives/Bombs/Dynamite",0,2
"17","Abu Sayyaf Group (ASG)","Philippines",2012,2,1,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",18,"Tourists",6,"Explosives/Bombs/Dynamite",NA,NA
"18","Abu Sayyaf Group (ASG)","Philippines",2001,10,8,160,5,"Southeast Asia",3,"Bombing/Explosion",18,"Tourists",6,"Explosives/Bombs/Dynamite",0,0
"19","Abu Sayyaf Group (ASG)","Philippines",2008,4,13,160,5,"Southeast Asia",3,"Bombing/Explosion",1,"Business",6,"Explosives/Bombs/Dynamite",0,0
"20","Abu Sayyaf Group (ASG)","Philippines",2012,10,13,160,5,"Southeast Asia",2,"Armed Assault",4,"Military",5,"Firearms",3,0
"21","Abu Sayyaf Group (ASG)","Philippines",2001,8,25,160,5,"Southeast Asia",2,"Armed Assault",19,"Transportation",5,"Firearms",6,10
"22","Abu Sayyaf Group (ASG)","Philippines",2013,10,15,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",14,"Private Citizens & Property",5,"Firearms",NA,NA
"23","Abu Sayyaf Group (ASG)","Philippines",1996,3,13,160,5,"Southeast Asia",3,"Bombing/Explosion",1,"Business",6,"Explosives/Bombs/Dynamite",NA,20
"24","Abu Sayyaf Group (ASG)","Philippines",2010,12,25,160,5,"Southeast Asia",3,"Bombing/Explosion",15,"Religious Figures/Institutions",6,"Explosives/Bombs/Dynamite",0,11
"25","Abu Sayyaf Group (ASG)","Philippines",2002,8,20,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",14,"Private Citizens & Property",9,"Melee",2,4
"26","Abu Sayyaf Group (ASG)","Philippines",2008,7,4,160,5,"Southeast Asia",3,"Bombing/Explosion",14,"Private Citizens & Property",6,"Explosives/Bombs/Dynamite",0,0
"27","Abu Sayyaf Group (ASG)","Philippines",2010,5,21,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",14,"Private Citizens & Property",5,"Firearms",1,0
"28","Abu Sayyaf Group (ASG)","Philippines",2002,6,17,160,5,"Southeast Asia",2,"Armed Assault",14,"Private Citizens & Property",9,"Melee",2,0
"29","Abu Sayyaf Group (ASG)","Philippines",2013,5,6,160,5,"Southeast Asia",2,"Armed Assault",4,"Military",5,"Firearms",4,7
"30","Abu Sayyaf Group (ASG)","Philippines",1995,2,24,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",1,"Business",5,"Firearms",1,0
"31","Abu Sayyaf Group (ASG)","Philippines",1999,11,17,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",14,"Private Citizens & Property",5,"Firearms",0,0
"32","Abu Sayyaf Group (ASG)","Philippines",1997,7,17,160,5,"Southeast Asia",1,"Assassination",1,"Business",5,"Firearms",1,0
"33","Abu Sayyaf Group (ASG)","Philippines",2002,10,17,160,5,"Southeast Asia",3,"Bombing/Explosion",14,"Private Citizens & Property",6,"Explosives/Bombs/Dynamite",3,75
"34","Abu Sayyaf Group (ASG)","Philippines",2008,12,24,160,5,"Southeast Asia",7,"Facility/Infrastructure Attack",8,"Educational Institution",8,"Incendiary",0,0
"35","Abu Sayyaf Group (ASG)","Philippines",2008,7,31,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",14,"Private Citizens & Property",13,"Unknown",0,0
"36","Abu Sayyaf Group (ASG)","Philippines",2002,7,20,160,5,"Southeast Asia",2,"Armed Assault",2,"Government (General)",5,"Firearms",1,4
"37","Abu Sayyaf Group (ASG)","Philippines",2012,7,29,160,5,"Southeast Asia",7,"Facility/Infrastructure Attack",8,"Educational Institution",8,"Incendiary",0,0
"38","Abu Sayyaf Group (ASG)","Philippines",2010,6,5,160,5,"Southeast Asia",2,"Armed Assault",14,"Private Citizens & Property",5,"Firearms",2,0
"39","Abu Sayyaf Group (ASG)","Philippines",2008,6,8,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",10,"Journalists & Media",13,"Unknown",0,0
"40","Abu Sayyaf Group (ASG)","Philippines",2012,6,12,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",10,"Journalists & Media",13,"Unknown",0,0
"41","Abu Sayyaf Group (ASG)","Philippines",2008,12,12,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",8,"Educational Institution",13,"Unknown",0,0
"42","Abu Sayyaf Group (ASG)","Philippines",2007,11,13,160,5,"Southeast Asia",3,"Bombing/Explosion",2,"Government (General)",6,"Explosives/Bombs/Dynamite",3,12
"43","Abu Sayyaf Group (ASG)","Philippines",2012,8,16,160,5,"Southeast Asia",3,"Bombing/Explosion",19,"Transportation",6,"Explosives/Bombs/Dynamite",0,6
"44","Abu Sayyaf Group (ASG)","Philippines",2011,8,21,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",1,"Business",5,"Firearms",0,0
"45","Abu Sayyaf Group (ASG)","Philippines",2008,7,20,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",14,"Private Citizens & Property",13,"Unknown",0,0
"46","Abu Sayyaf Group (ASG)","Philippines",2014,1,7,160,5,"Southeast Asia",9,"Unknown",14,"Private Citizens & Property",13,"Unknown",0,0
"47","Abu Sayyaf Group (ASG)","Philippines",2010,2,1,160,5,"Southeast Asia",3,"Bombing/Explosion",14,"Private Citizens & Property",6,"Explosives/Bombs/Dynamite",0,4
"48","Abu Sayyaf Group (ASG)","Philippines",1999,1,12,160,5,"Southeast Asia",3,"Bombing/Explosion",19,"Transportation",6,"Explosives/Bombs/Dynamite",0,0
"49","Abu Sayyaf Group (ASG)","Philippines",2013,5,5,160,5,"Southeast Asia",3,"Bombing/Explosion",2,"Government (General)",6,"Explosives/Bombs/Dynamite",0,4
"50","Abu Sayyaf Group (ASG)","Philippines",2012,1,7,160,5,"Southeast Asia",3,"Bombing/Explosion",19,"Transportation",6,"Explosives/Bombs/Dynamite",0,0
"51","Abu Sayyaf Group (ASG)","Philippines",2007,4,17,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",2,"Government (General)",5,"Firearms",7,0
"52","Abu Sayyaf Group (ASG)","Philippines",2014,2,7,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",1,"Business",5,"Firearms",0,0
"53","Abu Sayyaf Group (ASG)","Philippines",2010,5,27,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",14,"Private Citizens & Property",5,"Firearms",3,0
"54","Abu Sayyaf Group (ASG)","Philippines",2011,6,25,160,5,"Southeast Asia",3,"Bombing/Explosion",1,"Business",6,"Explosives/Bombs/Dynamite",2,12
"55","Abu Sayyaf Group (ASG)","Philippines",2000,12,28,160,5,"Southeast Asia",1,"Assassination",15,"Religious Figures/Institutions",5,"Firearms",2,3
"56","Abu Sayyaf Group (ASG)","Philippines",2013,4,7,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",1,"Business",5,"Firearms",NA,NA
"57","Abu Sayyaf Group (ASG)","Philippines",2012,6,4,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",1,"Business",13,"Unknown",NA,NA
"58","Abu Sayyaf Group (ASG)","Philippines",2014,9,19,160,5,"Southeast Asia",3,"Bombing/Explosion",21,"Utilities",6,"Explosives/Bombs/Dynamite",0,0
"59","Abu Sayyaf Group (ASG)","Philippines",2010,2,8,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",1,"Business",5,"Firearms",0,0
"61","Abu Sayyaf Group (ASG)","Philippines",2006,10,18,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",2,"Government (General)",5,"Firearms",0,0
"62","Abu Sayyaf Group (ASG)","Philippines",2014,8,19,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",1,"Business",5,"Firearms",0,0
"63","Abu Sayyaf Group (ASG)","Philippines",2010,6,11,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",14,"Private Citizens & Property",9,"Melee",2,0
"64","Abu Sayyaf Group (ASG)","Philippines",1995,4,4,160,5,"Southeast Asia",5,"Hostage Taking (Barricade Incident)",14,"Private Citizens & Property",6,"Explosives/Bombs/Dynamite",114,1
"65","Abu Sayyaf Group (ASG)","Philippines",1999,11,20,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",14,"Private Citizens & Property",5,"Firearms",0,0
"66","Abu Sayyaf Group (ASG)","Philippines",2008,9,15,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",12,"NGO",5,"Firearms",0,0
"67","Abu Sayyaf Group (ASG)","Philippines",2013,10,22,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",1,"Business",5,"Firearms",0,0
"68","Abu Sayyaf Group (ASG)","Philippines",2004,4,13,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",14,"Private Citizens & Property",5,"Firearms",6,NA
"69","Abu Sayyaf Group (ASG)","Philippines",2011,4,9,160,5,"Southeast Asia",3,"Bombing/Explosion",1,"Business",6,"Explosives/Bombs/Dynamite",0,0
"70","Abu Sayyaf Group (ASG)","Philippines",2014,11,12,160,5,"Southeast Asia",3,"Bombing/Explosion",1,"Business",6,"Explosives/Bombs/Dynamite",0,0
"71","Abu Sayyaf Group (ASG)","Philippines",2009,10,22,160,5,"Southeast Asia",3,"Bombing/Explosion",19,"Transportation",6,"Explosives/Bombs/Dynamite",0,0
"72","Abu Sayyaf Group (ASG)","Philippines",2008,12,28,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",14,"Private Citizens & Property",13,"Unknown",0,0
"73","Abu Sayyaf Group (ASG)","Philippines",2012,9,17,160,5,"Southeast Asia",2,"Armed Assault",1,"Business",5,"Firearms",3,6
"74","Abu Sayyaf Group (ASG)","Philippines",2002,10,20,160,5,"Southeast Asia",3,"Bombing/Explosion",14,"Private Citizens & Property",6,"Explosives/Bombs/Dynamite",1,18
"75","Abu Sayyaf Group (ASG)","Philippines",2014,2,11,160,5,"Southeast Asia",2,"Armed Assault",4,"Military",5,"Firearms",1,5
"76","Abu Sayyaf Group (ASG)","Philippines",2014,8,30,160,5,"Southeast Asia",2,"Armed Assault",4,"Military",5,"Firearms",2,0
"77","Abu Sayyaf Group (ASG)","Philippines",2001,8,28,160,5,"Southeast Asia",2,"Armed Assault",14,"Private Citizens & Property",9,"Melee",3,0
"78","Abu Sayyaf Group (ASG)","Philippines",2013,6,22,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",10,"Journalists & Media",5,"Firearms",0,0
"79","Abu Sayyaf Group (ASG)","Philippines",2014,9,16,160,5,"Southeast Asia",3,"Bombing/Explosion",8,"Educational Institution",6,"Explosives/Bombs/Dynamite",0,5
"80","Abu Sayyaf Group (ASG)","Philippines",2013,1,22,160,5,"Southeast Asia",2,"Armed Assault",4,"Military",5,"Firearms",0,6
"81","Abu Sayyaf Group (ASG)","Philippines",2014,7,25,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",14,"Private Citizens & Property",5,"Firearms",0,0
"82","Abu Sayyaf Group (ASG)","Philippines",2000,8,28,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",14,"Private Citizens & Property",13,"Unknown",0,0
"83","Abu Sayyaf Group (ASG)","Philippines",2005,7,30,160,5,"Southeast Asia",3,"Bombing/Explosion",14,"Private Citizens & Property",6,"Explosives/Bombs/Dynamite",0,3
"84","Abu Sayyaf Group (ASG)","Philippines",1999,8,11,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",14,"Private Citizens & Property",5,"Firearms",NA,NA
"85","Abu Sayyaf Group (ASG)","Philippines",2014,2,19,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",14,"Private Citizens & Property",5,"Firearms",0,0
"86","Abu Sayyaf Group (ASG)","Philippines",2013,12,31,160,5,"Southeast Asia",3,"Bombing/Explosion",15,"Religious Figures/Institutions",6,"Explosives/Bombs/Dynamite",7,5
"87","Abu Sayyaf Group (ASG)","Philippines",2012,4,2,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",2,"Government (General)",5,"Firearms",0,0
"88","Abu Sayyaf Group (ASG)","Philippines",2002,1,11,160,5,"Southeast Asia",2,"Armed Assault",14,"Private Citizens & Property",5,"Firearms",3,6
"89","Abu Sayyaf Group (ASG)","Philippines",2014,4,25,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",14,"Private Citizens & Property",13,"Unknown",0,0
"90","Abu Sayyaf Group (ASG)","Philippines",2013,7,6,160,5,"Southeast Asia",3,"Bombing/Explosion",4,"Military",6,"Explosives/Bombs/Dynamite",0,2
"91","Abu Sayyaf Group (ASG)","Philippines",2002,10,17,160,5,"Southeast Asia",3,"Bombing/Explosion",14,"Private Citizens & Property",6,"Explosives/Bombs/Dynamite",3,75
"92","Abu Sayyaf Group (ASG)","Philippines",2008,7,27,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",14,"Private Citizens & Property",13,"Unknown",0,0
"93","Abu Sayyaf Group (ASG)","Philippines",2000,9,20,160,5,"Southeast Asia",3,"Bombing/Explosion",11,"Maritime",6,"Explosives/Bombs/Dynamite",1,9
"94","Abu Sayyaf Group (ASG)","Philippines",2000,4,24,160,5,"Southeast Asia",3,"Bombing/Explosion",1,"Business",6,"Explosives/Bombs/Dynamite",0,5
"95","Abu Sayyaf Group (ASG)","Philippines",2009,11,10,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",1,"Business",13,"Unknown",1,0
"96","Abu Sayyaf Group (ASG)","Philippines",2005,8,10,160,5,"Southeast Asia",3,"Bombing/Explosion",19,"Transportation",6,"Explosives/Bombs/Dynamite",0,5
"97","Abu Sayyaf Group (ASG)","Philippines",2014,12,29,160,5,"Southeast Asia",3,"Bombing/Explosion",1,"Business",6,"Explosives/Bombs/Dynamite",0,0
"98","Abu Sayyaf Group (ASG)","Philippines",2004,2,27,160,5,"Southeast Asia",3,"Bombing/Explosion",11,"Maritime",6,"Explosives/Bombs/Dynamite",116,NA
"99","Abu Sayyaf Group (ASG)","Philippines",1996,1,20,160,5,"Southeast Asia",2,"Armed Assault",14,"Private Citizens & Property",5,"Firearms",2,3
"100","Abu Sayyaf Group (ASG)","Philippines",2014,6,4,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",1,"Business",9,"Melee",1,1
"101","Abu Sayyaf Group (ASG)","Philippines",2008,7,16,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",1,"Business",13,"Unknown",0,0
"102","Abu Sayyaf Group (ASG)","Philippines",2008,5,13,160,5,"Southeast Asia",3,"Bombing/Explosion",15,"Religious Figures/Institutions",6,"Explosives/Bombs/Dynamite",0,0
"103","Abu Sayyaf Group (ASG)","Philippines",1996,3,10,160,5,"Southeast Asia",3,"Bombing/Explosion",15,"Religious Figures/Institutions",6,"Explosives/Bombs/Dynamite",NA,NA
"104","Abu Sayyaf Group (ASG)","Philippines",2009,1,28,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",14,"Private Citizens & Property",13,"Unknown",0,0
"105","Abu Sayyaf Group (ASG)","Philippines",2013,5,22,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",2,"Government (General)",5,"Firearms",0,0
"106","Abu Sayyaf Group (ASG)","Philippines",2009,10,7,160,5,"Southeast Asia",3,"Bombing/Explosion",14,"Private Citizens & Property",6,"Explosives/Bombs/Dynamite",0,2
"107","Abu Sayyaf Group (ASG)","Philippines",2004,6,12,160,5,"Southeast Asia",3,"Bombing/Explosion",1,"Business",6,"Explosives/Bombs/Dynamite",1,2
"108","Abu Sayyaf Group (ASG)","Philippines",2004,12,11,160,5,"Southeast Asia",2,"Armed Assault",2,"Government (General)",5,"Firearms",1,0
"109","Abu Sayyaf Group (ASG)","Philippines",2009,2,13,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",12,"NGO",13,"Unknown",0,0
"110","Abu Sayyaf Group (ASG)","Philippines",2013,11,5,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",14,"Private Citizens & Property",5,"Firearms",NA,NA
"111","Abu Sayyaf Group (ASG)","Philippines",2012,7,15,160,5,"Southeast Asia",2,"Armed Assault",15,"Religious Figures/Institutions",5,"Firearms",0,1
"112","Abu Sayyaf Group (ASG)","Philippines",1999,1,12,160,5,"Southeast Asia",3,"Bombing/Explosion",19,"Transportation",6,"Explosives/Bombs/Dynamite",0,0
"113","Abu Sayyaf Group (ASG)","Philippines",2000,11,22,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",14,"Private Citizens & Property",5,"Firearms",0,1
"114","Abu Sayyaf Group (ASG)","Philippines",2009,5,7,160,5,"Southeast Asia",2,"Armed Assault",3,"Police",5,"Firearms",9,4
"115","Abu Sayyaf Group (ASG)","Philippines",2003,4,13,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",14,"Private Citizens & Property",5,"Firearms",0,0
"116","Abu Sayyaf Group (ASG)","Philippines",2011,8,13,160,5,"Southeast Asia",3,"Bombing/Explosion",14,"Private Citizens & Property",6,"Explosives/Bombs/Dynamite",0,1
"117","Abu Sayyaf Group (ASG)","Philippines",2007,12,13,160,5,"Southeast Asia",3,"Bombing/Explosion",2,"Government (General)",6,"Explosives/Bombs/Dynamite",0,0
"118","Abu Sayyaf Group (ASG)","Philippines",2013,6,22,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",8,"Educational Institution",5,"Firearms",0,0
"119","Abu Sayyaf Group (ASG)","Philippines",2014,6,19,160,5,"Southeast Asia",3,"Bombing/Explosion",4,"Military",6,"Explosives/Bombs/Dynamite",6,13
"120","Abu Sayyaf Group (ASG)","Philippines",2014,7,17,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",2,"Government (General)",5,"Firearms",0,0
"121","Abu Sayyaf Group (ASG)","Philippines",2013,12,14,160,5,"Southeast Asia",3,"Bombing/Explosion",2,"Government (General)",6,"Explosives/Bombs/Dynamite",0,0
"122","Abu Sayyaf Group (ASG)","Philippines",2014,8,16,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",2,"Government (General)",5,"Firearms",1,0
"123","Abu Sayyaf Group (ASG)","Philippines",2014,9,11,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",14,"Private Citizens & Property",5,"Firearms",0,0
"124","Abu Sayyaf Group (ASG)","Philippines",2009,3,16,160,5,"Southeast Asia",3,"Bombing/Explosion",1,"Business",6,"Explosives/Bombs/Dynamite",2,3
"125","Abu Sayyaf Group (ASG)","Philippines",2011,4,1,160,5,"Southeast Asia",3,"Bombing/Explosion",2,"Government (General)",6,"Explosives/Bombs/Dynamite",0,1
"126","Abu Sayyaf Group (ASG)","Philippines",2000,2,16,160,5,"Southeast Asia",2,"Armed Assault",4,"Military",5,"Firearms",1,3
"127","Abu Sayyaf Group (ASG)","Philippines",2009,10,5,160,5,"Southeast Asia",3,"Bombing/Explosion",2,"Government (General)",6,"Explosives/Bombs/Dynamite",0,6
"128","Abu Sayyaf Group (ASG)","Philippines",1998,8,24,160,5,"Southeast Asia",2,"Armed Assault",3,"Police",5,"Firearms",2,3
"129","Abu Sayyaf Group (ASG)","Philippines",2000,5,25,160,5,"Southeast Asia",3,"Bombing/Explosion",14,"Private Citizens & Property",6,"Explosives/Bombs/Dynamite",4,39
"130","Abu Sayyaf Group (ASG)","Philippines",2000,5,25,160,5,"Southeast Asia",3,"Bombing/Explosion",3,"Police",6,"Explosives/Bombs/Dynamite",1,16
"131","Abu Sayyaf Group (ASG)","Philippines",2011,4,10,160,5,"Southeast Asia",3,"Bombing/Explosion",8,"Educational Institution",6,"Explosives/Bombs/Dynamite",0,0
"132","Abu Sayyaf Group (ASG)","Philippines",2000,5,29,160,5,"Southeast Asia",2,"Armed Assault",4,"Military",5,"Firearms",0,7
"133","Abu Sayyaf Group (ASG)","Philippines",2014,11,17,160,5,"Southeast Asia",3,"Bombing/Explosion",8,"Educational Institution",6,"Explosives/Bombs/Dynamite",0,0
"134","Abu Sayyaf Group (ASG)","Philippines",1996,3,11,160,5,"Southeast Asia",3,"Bombing/Explosion",1,"Business",6,"Explosives/Bombs/Dynamite",NA,NA
"135","Abu Sayyaf Group (ASG)","Philippines",2013,11,17,160,5,"Southeast Asia",3,"Bombing/Explosion",4,"Military",6,"Explosives/Bombs/Dynamite",1,2
"136","Abu Sayyaf Group (ASG)","Philippines",2012,3,3,160,5,"Southeast Asia",3,"Bombing/Explosion",1,"Business",6,"Explosives/Bombs/Dynamite",2,17
"137","Abu Sayyaf Group (ASG)","Philippines",2005,8,10,160,5,"Southeast Asia",3,"Bombing/Explosion",1,"Business",6,"Explosives/Bombs/Dynamite",0,12
"138","Abu Sayyaf Group (ASG)","Philippines",2001,11,3,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",14,"Private Citizens & Property",5,"Firearms",0,0
"139","Abu Sayyaf Group (ASG)","Philippines",1997,6,15,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",1,"Business",5,"Firearms",1,0
"140","Abu Sayyaf Group (ASG)","Philippines",2012,3,20,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",14,"Private Citizens & Property",5,"Firearms",0,0
"141","Abu Sayyaf Group (ASG)","Philippines",2014,8,3,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",14,"Private Citizens & Property",5,"Firearms",NA,NA
"142","Abu Sayyaf Group (ASG)","Philippines",1996,3,14,160,5,"Southeast Asia",3,"Bombing/Explosion",8,"Educational Institution",6,"Explosives/Bombs/Dynamite",0,0
"143","Abu Sayyaf Group (ASG)","Philippines",2001,10,8,160,5,"Southeast Asia",3,"Bombing/Explosion",18,"Tourists",6,"Explosives/Bombs/Dynamite",0,0
"144","Abu Sayyaf Group (ASG)","Philippines",1998,9,7,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",14,"Private Citizens & Property",5,"Firearms",0,0
"145","Abu Sayyaf Group (ASG)","Philippines",2010,4,13,160,5,"Southeast Asia",3,"Bombing/Explosion",15,"Religious Figures/Institutions",6,"Explosives/Bombs/Dynamite",0,0
"146","Abu Sayyaf Group (ASG)","Philippines",1999,3,15,160,5,"Southeast Asia",3,"Bombing/Explosion",1,"Business",6,"Explosives/Bombs/Dynamite",0,5
"147","Abu Sayyaf Group (ASG)","Philippines",2000,7,9,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",10,"Journalists & Media",13,"Unknown",0,0
"148","Abu Sayyaf Group (ASG)","Philippines",2013,5,6,160,5,"Southeast Asia",2,"Armed Assault",4,"Military",5,"Firearms",1,1
"149","Abu Sayyaf Group (ASG)","Philippines",2013,7,2,160,5,"Southeast Asia",3,"Bombing/Explosion",14,"Private Citizens & Property",6,"Explosives/Bombs/Dynamite",1,0
"150","Abu Sayyaf Group (ASG)","Philippines",1996,7,30,160,5,"Southeast Asia",7,"Facility/Infrastructure Attack",8,"Educational Institution",8,"Incendiary",NA,NA
"151","Abu Sayyaf Group (ASG)","Philippines",1999,10,13,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",1,"Business",5,"Firearms",NA,NA
"152","Abu Sayyaf Group (ASG)","Philippines",2012,9,7,160,5,"Southeast Asia",2,"Armed Assault",1,"Business",5,"Firearms",1,36
"153","Abu Sayyaf Group (ASG)","Philippines",2008,12,1,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",1,"Business",5,"Firearms",0,0
"154","Abu Sayyaf Group (ASG)","Philippines",1998,3,20,160,5,"Southeast Asia",3,"Bombing/Explosion",14,"Private Citizens & Property",5,"Firearms",2,8
"155","Abu Sayyaf Group (ASG)","Philippines",2014,3,28,160,5,"Southeast Asia",9,"Unknown",4,"Military",13,"Unknown",0,0
"156","Abu Sayyaf Group (ASG)","Philippines",2014,10,15,160,5,"Southeast Asia",3,"Bombing/Explosion",2,"Government (General)",6,"Explosives/Bombs/Dynamite",0,0
"157","Abu Sayyaf Group (ASG)","Philippines",2001,10,8,160,5,"Southeast Asia",3,"Bombing/Explosion",18,"Tourists",6,"Explosives/Bombs/Dynamite",0,0
"158","Abu Sayyaf Group (ASG)","Philippines",1994,7,31,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",15,"Religious Figures/Institutions",5,"Firearms",2,3
"159","Abu Sayyaf Group (ASG)","Philippines",2011,12,3,160,5,"Southeast Asia",3,"Bombing/Explosion",19,"Transportation",6,"Explosives/Bombs/Dynamite",0,0
"160","Abu Sayyaf Group (ASG)","Philippines",1999,1,8,160,5,"Southeast Asia",3,"Bombing/Explosion",19,"Transportation",6,"Explosives/Bombs/Dynamite",1,10
"161","Abu Sayyaf Group (ASG)","Philippines",1995,2,20,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",14,"Private Citizens & Property",13,"Unknown",0,0
"162","Abu Sayyaf Group (ASG)","Philippines",2014,2,16,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",1,"Business",5,"Firearms",0,0
